t p_lowerST2 p_upperST2 p_lowerST3 p_upperST3 p_lowerST4 p_upperST4 p_lowerST0 p_upperST0 p_physST2_lower p_physST2_upper p_physST3_lower p_physST3_upper p_physST4_lower p_physST4_upper
0.000000098174794 0.035807124172206 0.043886255757710 0.035486446257860 0.043292785636556 0.035483238718537 0.043286876535794 0.035483206319077 0.043286816850495 0.001388439586233 0.003026675089184 0.000013889585103 0.000030357808254 0.000000138896351 0.000000303587207
0.000000099083194 0.035725296718581 0.043755930411762 0.035404371395611 0.043163197318512 0.035401161454998 0.043157295753071 0.035401129031290 0.043157236143904 0.001387312955306 0.003033379272553 0.000013878041074 0.000030425254742 0.000000138780883 0.000000304261712
0.000000100000000 0.035642900812019 0.043625103394824 0.035321727831113 0.043033108338361 0.035318515488040 0.043027214320379 0.035318483040073 0.043027154787465 0.001386168360272 0.003040152940054 0.000013866313732 0.000030493401180 0.000000138663581 0.000000304943218
0.000000100925289 0.035559935998999 0.043493777828744 0.035238515106417 0.042902521714340 0.035235300359698 0.042896635254947 0.035235267887460 0.042896575798399 0.001385005613863 0.003046996872827 0.000013854401152 0.000030562255456 0.000000138544427 0.000000305631802
0.000000101859139 0.035476401920505 0.043361956926605 0.035154732857078 0.042771440552981 0.035151515705495 0.042765561662277 0.035151483208973 0.042765502282197 0.001383824529588 0.003053911861804 0.000013842301419 0.000030631825555 0.000000138423401 0.000000306327545
0.000000102801630 0.035392298314292 0.043229643993859 0.035070380814361 0.042639868050210 0.035067161256658 0.042633996737223 0.035067128735839 0.042633937433706 0.001382624921851 0.003060898707841 0.000013830012624 0.000030702119565 0.000000138300483 0.000000307030528
0.000000103752842 0.035307625017161 0.043096842429470 0.034985458807484 0.042507807492408 0.034982236842353 0.042501943765087 0.034982204297225 0.042501884538209 0.001381406606068 0.003067958221860 0.000013817532869 0.000030773145674 0.000000138175656 0.000000307740832
0.000000104712855 0.035222381967254 0.042963555727074 0.034899966765859 0.042375262257537 0.034896742391933 0.042369406122699 0.034896709822482 0.042369346972532 0.001380169398791 0.003075091224993 0.000013804860265 0.000030844912175 0.000000138048899 0.000000308458541
0.000000105681751 0.035136569206371 0.042829787476142 0.034813904721369 0.042242235816239 0.034810677937209 0.042236387279552 0.034810645343421 0.042236328206151 0.001378913117832 0.003082298548722 0.000013791992936 0.000030917427466 0.000000137920196 0.000000309183738
0.000000106659612 0.035050186882296 0.042695541363177 0.034727272810646 0.042108731732966 0.034724043614726 0.042102890798908 0.034724010996585 0.042102831802320 0.001377637582392 0.003089581035033 0.000013778929019 0.000030990700050 0.000000137789525 0.000000309916509
0.000000107646521 0.034963235251152 0.042560821172896 0.034640071277366 0.041974753667111 0.034636839668067 0.041968920338950 0.034636807025558 0.041968861419207 0.001376342613197 0.003096939536557 0.000013765666666 0.000031064738540 0.000000137656870 0.000000310656939
0.000000108642562 0.034875714679752 0.042425630789448 0.034552300474569 0.041840305374172 0.034549066450161 0.041834479653919 0.034549033783265 0.041834420811044 0.001375028032634 0.003104374916725 0.000013752204043 0.000031139551656 0.000000137522212 0.000000311405117
0.000000109647820 0.034787625647984 0.042289974197626 0.034463960866975 0.041705390706887 0.034460724425605 0.041699572595274 0.034460691734304 0.041699513829274 0.001373693664894 0.003111888049925 0.000013738539336 0.000031215148231 0.000000137385533 0.000000312161129
0.000000110662378 0.034698968751190 0.042153855484109 0.034375053033326 0.041570013616431 0.034371814173003 0.041564203112873 0.034371781457278 0.041564144423739 0.001372339336120 0.003119479821652 0.000013724670747 0.000031291537211 0.000000137246814 0.000000312925066
0.000000111686325 0.034609744702575 0.042017278838698 0.034285577668727 0.041434178153577 0.034282336387312 0.041428375256138 0.034282303647141 0.041428316643855 0.001370964874554 0.003127151128670 0.000013710596501 0.000031368727654 0.000000137106039 0.000000313697019
0.000000112719746 0.034519954335612 0.041880248555576 0.034195535587011 0.041297888469913 0.034192291882198 0.041292093175269 0.034192259117557 0.041292034639800 0.001369570110695 0.003134902879172 0.000013696314842 0.000031446728737 0.000000136963188 0.000000314477078
0.000000113762729 0.034429598606466 0.041742769034587 0.034104927723096 0.041161148819023 0.034101681592396 0.041155361122433 0.034101648803261 0.041155302663733 0.001368154877457 0.003142735992945 0.000013681824039 0.000031525549752 0.000000136818246 0.000000315265337
0.000000114815362 0.034338678596417 0.041604844782495 0.034013755135360 0.041023963557728 0.034010506576088 0.041018183452987 0.034010473762433 0.041018125070992 0.001366719010333 0.003150651401536 0.000013667122386 0.000031605200111 0.000000136671195 0.000000316061891
0.000000115877736 0.034247195514306 0.041466480414305 0.033922019008023 0.040886337147294 0.033918768017280 0.040880564626709 0.033918735179074 0.040880506321341 0.001365262347565 0.003158650048417 0.000013652208203 0.000031685689349 0.000000136522018 0.000000316866833
0.000000116949939 0.034155150698966 0.041327680654539 0.033829720653523 0.040748274154688 0.033826467228179 0.040742509209024 0.033826434365391 0.040742450980194 0.001363784730312 0.003166732889163 0.000013637079839 0.000031767027120 0.000000136370699 0.000000317680262
0.000000118032064 0.034062545621674 0.041188450338578 0.033736861514907 0.040609779253806 0.033733605651583 0.040604021872269 0.033733572764179 0.040603963719865 0.001362286002835 0.003174900891620 0.000013621735673 0.000031849223206 0.000000136217222 0.000000318502275
0.000000119124201 0.033969381888600 0.041048794413963 0.033643443168220 0.040470857226758 0.033640184863268 0.040465107396937 0.033640151951213 0.040465049320835 0.001360766012672 0.003183155036087 0.000013606174115 0.000031932287513 0.000000136061570 0.000000319332970
0.000000120226443 0.033875661243257 0.040908717941753 0.033549467324889 0.040331512965111 0.033546206574378 0.040325770672952 0.033546173637630 0.040325712673010 0.001359224610829 0.003191496315493 0.000013590393610 0.000032016230078 0.000000135903728 0.000000320172449
0.000000121338885 0.033781385568951 0.040768226097860 0.033454935834115 0.040191751471191 0.033451672633805 0.040186016700948 0.033451639672323 0.040185958777004 0.001357661651969 0.003199925735577 0.000013574392638 0.000032101061065 0.000000135743681 0.000000321020813
0.000000122461620 0.033686556891231 0.040627324174409 0.033359850685256 0.040051577859348 0.033356585030582 0.040045850593546 0.033356552044320 0.040045792745426 0.001356076994612 0.003208444315081 0.000013558169718 0.000032186790771 0.000000135581414 0.000000321878164
0.000000123594743 0.033591177380336 0.040486017581102 0.033264214010206 0.039910997357273 0.033260945896257 0.039905277576667 0.033260912885165 0.039905219804180 0.001354470501330 0.003217053085932 0.000013541723407 0.000032273429628 0.000000135416912 0.000000322744608
0.000000124738351 0.033495249353635 0.040344311846602 0.033168028085776 0.039770015307291 0.033164757507272 0.039764302990822 0.033164724471297 0.039764245293753 0.001352842038960 0.003225753093433 0.000013525052304 0.000032360988203 0.000000135250162 0.000000323620250
0.000000125892541 0.033398775278063 0.040202212619896 0.033071295336054 0.039628637167669 0.033068022287325 0.039622932292423 0.033067989226410 0.039622874670542 0.001351191478809 0.003234545396463 0.000013508155052 0.000032449477200 0.000000135081150 0.000000324505197
0.000000127057411 0.033301757772549 0.040059725671721 0.032974018334768 0.039486868513950 0.032970742809729 0.039481171055115 0.032970709723813 0.039481113508171 0.001349518696872 0.003243431067671 0.000013491030341 0.000032538907465 0.000000134909863 0.000000325399557
0.000000128233058 0.033204199610429 0.039916856895922 0.032876199807631 0.039344715040267 0.032872921799761 0.039339024971086 0.032872888688778 0.039338967498808 0.001347823574051 0.003252411193677 0.000013473676908 0.000032629289983 0.000000134736288 0.000000326303441
0.000000129419584 0.033106103721852 0.039773612310885 0.032777842634674 0.039202182560671 0.032774562136991 0.039196499852401 0.032774529000871 0.039196442454499 0.001346105996384 0.003261486875274 0.000013456093540 0.000032720635886 0.000000134560414 0.000000327216959
0.000000130617089 0.033007473196172 0.039629998060935 0.032678949852567 0.039059277010485 0.032675666857602 0.039053601632342 0.032675633696271 0.039053544308508 0.001344365855270 0.003270659227641 0.000013438279079 0.000032812956450 0.000000134382228 0.000000328140224
0.000000131825674 0.032908311284323 0.039486020417760 0.032579524656918 0.038916004447621 0.032576239156692 0.038910336366753 0.032576205970068 0.038910279116654 0.001342603047708 0.003279929380545 0.000013420232418 0.000032906263100 0.000000134201719 0.000000329073351
0.000000133045442 0.032808621401171 0.039341685781821 0.032479570404560 0.038772371053952 0.032476282390554 0.038766710235369 0.032476249178551 0.038766653058651 0.001340817476532 0.003289298478565 0.000013401952511 0.000033000567412 0.000000134018877 0.000000330016456
0.000000134276496 0.032708407127857 0.039197000683780 0.032379090615807 0.038628383136629 0.032375800078938 0.038622729543171 0.032375766841465 0.038622672439460 0.001339009050664 0.003298767681301 0.000013383438370 0.000033095881114 0.000000133833692 0.000000330969655
0.000000135518941 0.032607672214106 0.039051971785926 0.032278088976698 0.038484047129453 0.032274795907289 0.038478400721739 0.032274762644249 0.038478343690636 0.001337177685355 0.003308338163596 0.000013364689071 0.000033192216088 0.000000133646155 0.000000331933068
0.000000136772883 0.032506420580518 0.038906605883599 0.032176569341207 0.038339369594218 0.032173273728960 0.038333730330588 0.032173240440248 0.038333673371675 0.001335323302443 0.003318011115766 0.000013345703753 0.000033289584375 0.000000133456258 0.000000332906815
0.000000138038426 0.032404656320834 0.038760909906617 0.032074535733430 0.038194357222049 0.032071237567395 0.038188725058530 0.032071204252901 0.038188668171361 0.001333445830614 0.003327787743822 0.000013326481623 0.000033387998175 0.000000133263992 0.000000333891018
0.000000139315680 0.032302383704166 0.038614890920703 0.031971992349738 0.038049016834772 0.031968691618285 0.038043391725007 0.031968658277893 0.038043334909114 0.001331545205663 0.003337669269703 0.000013307021958 0.000033487469850 0.000000133069349 0.000000334885801
0.000000140604752 0.032199607177202 0.038468556128904 0.031868943560905 0.037903355386230 0.031865640251691 0.037897737281441 0.031865606885275 0.037897680536334 0.001329621370764 0.003347656931513 0.000013287324108 0.000033588011925 0.000000132872325 0.000000335891289
0.000000141905752 0.032096331366373 0.038321912873012 0.031765393914192 0.037757379963647 0.031762088014130 0.037751768812582 0.031762054621559 0.037751712137742 0.001327674276741 0.003357751983759 0.000013267387499 0.000033689637094 0.000000132672912 0.000000336907608
0.000000143218790 0.031992561079985 0.038174968634983 0.031661348135400 0.037611097788954 0.031658039630627 0.037605493537827 0.031658006211762 0.037605436932714 0.001325703882351 0.003367955697593 0.000013247211633 0.000033792358219 0.000000132471105 0.000000337934888
0.000000144543977 0.031888301310315 0.038027731038342 0.031556811130881 0.037464516220118 0.031553500006726 0.037458918812564 0.031553466561418 0.037458862276605 0.001323710154560 0.003378269361060 0.000013226796096 0.000033896188334 0.000000132266902 0.000000338973258
0.000000145881426 0.031783557235658 0.037880207849585 0.031451787989510 0.037317642752461 0.031448474230456 0.037312052129477 0.031448440758549 0.037311995662078 0.001321693068834 0.003388694279350 0.000013206140556 0.000034001140647 0.000000132060298 0.000000340022852
0.000000147231250 0.031678334222340 0.037732406979565 0.031346283984607 0.037170485019974 0.031342967574260 0.037164901119860 0.031342934075588 0.037164844720399 0.001319652609430 0.003399231775050 0.000013185244768 0.000034107228544 0.000000131851290 0.000000341083803
0.000000148593564 0.031572637826675 0.037584336484875 0.031240304575814 0.037023050796619 0.031236985496866 0.037017473554927 0.031236951971255 0.037017417222752 0.001317588769688 0.003409883188407 0.000013164108577 0.000034214465590 0.000000131639878 0.000000342156246
0.000000149968484 0.031466473796878 0.037436004569219 0.031133855410925 0.036875347997597 0.031130533645116 0.036869777347075 0.031130500092382 0.036869721081508 0.001315501552335 0.003420649877586 0.000013142731920 0.000034322865532 0.000000131426061 0.000000343240319
0.000000151356125 0.031359848074923 0.037287419584758 0.031026942327657 0.036727384680643 0.031023617855739 0.036721820551175 0.031023584275688 0.036721764351507 0.001313390969787 0.003431533218943 0.000013121114830 0.000034432442303 0.000000131209839 0.000000344336161
0.000000152756606 0.031252766798347 0.037138590033448 0.030919571355369 0.036579169047270 0.030916244157069 0.036573611365813 0.030916210549495 0.036573555231309 0.001311257044454 0.003442534607293 0.000013099257439 0.000034543210023 0.000000130991213 0.000000345443914
0.000000154170045 0.031145236301996 0.036989524568356 0.030811748716723 0.036430709443985 0.030808418770701 0.036425158134527 0.030808385135391 0.036425102064416 0.001309099809055 0.003453655456187 0.000013077159982 0.000034655183003 0.000000130770185 0.000000346563720
0.000000155596563 0.031037263119709 0.036840231994955 0.030703480829282 0.036282014363541 0.030700148113095 0.036276469347018 0.030700114449821 0.036276413340504 0.001306919306932 0.003464897198194 0.000013054822796 0.000034768375749 0.000000130546760 0.000000347695726
0.000000157036280 0.030928853985941 0.036690721272401 0.030594774307045 0.036133092446094 0.030591438797101 0.036127553640343 0.030591405105626 0.036127497696599 0.001304715592368 0.003476261285187 0.000013032246328 0.000034882802961 0.000000130320941 0.000000348840077
0.000000158489319 0.030820015837312 0.036541001514767 0.030485635961911 0.035983952480379 0.030482297633433 0.035978419800083 0.030482263913506 0.035978363918243 0.001302488730908 0.003487749188629 0.000013009431136 0.000034998479540 0.000000130092734 0.000000349996922
