t p_lowerLD p_upperLD p_lowerST p_upperST t_lowerLD t_upperLD t_lowerST t_upperST p_LDqubit_STduration_lower p_LDqubit_STduration_upper p_210_STduration_lower p_210_STduration_upper p_2100_STduration_lower p_2100_STduration_upper p_measST
0.000000093756201 0.193923453916916 0.581202686815790 0.004823045331957 0.004893124371892 0.000011491969524 0.000030425372042 0.000000886783092 0.000001787512401 0.000890797657919 0.003609584254199 0.000008915841728 0.000036225451657 0.000000089159204 0.000000362267509 0.039514313560751
0.000000094623716 0.194214584585790 0.582273022086666 0.004814124039893 0.004883757374669 0.000011493259329 0.000030477422968 0.000000886402177 0.000001789247432 0.000890033225553 0.003616569452393 0.000008908183903 0.000036295806971 0.000000089082625 0.000000362971112 0.039388636417266
0.000000095499259 0.194507970777469 0.583347563005288 0.004805140442368 0.004874328135477 0.000011494612633 0.000030529955516 0.000000886016665 0.000001790998517 0.000889259900556 0.003623626055190 0.000008900437007 0.000036366882472 0.000000089005154 0.000000363681919 0.039262126332581
0.000000096382902 0.194803624082728 0.584426248597364 0.004796094331160 0.004864836478637 0.000011496031574 0.000030582974142 0.000000885626504 0.000001792765805 0.000888477591008 0.003630754848883 0.000008892600119 0.000036438686110 0.000000088926784 0.000000364400007 0.039134781138786
0.000000097274722 0.195101555944315 0.585509015980410 0.004786985502537 0.004855282233135 0.000011497518339 0.000030636483343 0.000000885231642 0.000001794549445 0.000887686204594 0.003637956629362 0.000008884672314 0.000036511225932 0.000000088847505 0.000000365125457 0.039006598734303
0.000000098174794 0.195401777647466 0.586595800344099 0.004777813757408 0.004845665232768 0.000011499075174 0.000030690487658 0.000000884832026 0.000001796349589 0.000886885648616 0.003645232202255 0.000008876652665 0.000036584510085 0.000000088767307 0.000000365858352 0.038877577085651
0.000000099083194 0.195704300310081 0.587686534931132 0.004768578901462 0.004835985316260 0.000011500704378 0.000030744991669 0.000000884427604 0.000001798166389 0.000886075830021 0.003652582383054 0.000008868540240 0.000036658546816 0.000000088686181 0.000000366598773 0.038747714229228
0.000000100000000 0.196009134872561 0.588781151018699 0.004759280745321 0.004826242327425 0.000011502408308 0.000030800000000 0.000000884018321 0.000001800000000 0.000885256655419 0.003660007997257 0.000008860334104 0.000036733344473 0.000000088604118 0.000000367346804 0.038617008273127
0.000000100925289 0.196316292087318 0.589879577900546 0.004749919104686 0.004816436115296 0.000011504189379 0.000030855517316 0.000000883604125 0.000001801850577 0.000884428031109 0.003667509880501 0.000008852033318 0.000036808911507 0.000000088521109 0.000000368102529 0.038485457398972
0.000000101859139 0.196625782507919 0.590981742869699 0.004740493800495 0.004806566534273 0.000011506050063 0.000030911548328 0.000000883184962 0.000001803718278 0.000883589863100 0.003675088878707 0.000008843636941 0.000036885256474 0.000000088437144 0.000000368866035 0.038353059863784
