t p_lowerLD p_upperLD p_lowerST p_upperST t_lowerLD t_upperLD t_lowerST t_upperST
0.000001541700453 0.494240486151012 0.495973034336217 0.028381504626609 0.047127956784578 0.000042247091741 0.000039474009059 0.000003497597845 0.000004523400906
0.000001555965632 0.494645243560900 0.496294079595826 0.028424125606003 0.047465485828095 0.000042556716508 0.000039759312632 0.000003521659585 0.000004551931263
0.000001570362804 0.495026510401454 0.496597256432777 0.028467451166533 0.047809814679480 0.000042868938200 0.000040047256087 0.000003545967081 0.000004580725609
0.000001584893192 0.495385227143639 0.496883214633638 0.028511494333639 0.048161093755171 0.000043183792461 0.000040337863849 0.000003570522712 0.000004609786385
0.000001599558029 0.495722326674335 0.497152609284616 0.028556268424937 0.048519476917895 0.000043501314843 0.000040631160572 0.000003595328870 0.000004639116057
0.000001614358557 0.496038732325585 0.497406098975804 0.028601787059141 0.048885121550189 0.000043821540792 0.000040927171137 0.000003620387953 0.000004668717114
0.000001629296033 0.496335355963934 0.497644344019852 0.028648064165345 0.049258188629044 0.000044144505623 0.000041225920653 0.000003645702364 0.000004698592065
0.000001644371723 0.496613096146032 0.497868004695902 0.028695113992683 0.049638842801473 0.000044470244505 0.000041527434464 0.000003671274514 0.000004728743446
0.000001659586907 0.496872836346353 0.498077739529692 0.028742951120403 0.050027252461145 0.000044798792447 0.000041831738149 0.000003697106816 0.000004759173815
0.000001674942876 0.497115443262601 0.498274203620336 0.028791590468349 0.050423589825938 0.000045130184280 0.000042138857521 0.000003723201690 0.000004789885752
0.000001690440932 0.497341765204024 0.498458047023985 0.028841047307885 0.050828031016435 0.000045464454642 0.000042448818633 0.000003749561555 0.000004820881863
0.000001706082389 0.497552630567359 0.498629913204108 0.028891337273287 0.051240756135296 0.000045801637967 0.000042761647780 0.000003776188833 0.000004852164778
0.000001721868575 0.497748846404906 0.498790437557633 0.028942476373610 0.051661949347508 0.000046141768467 0.000043077371500 0.000003803085948 0.000004883737150
0.000001737800829 0.497931197088588 0.498940246025457 0.028994481005063 0.052091798961429 0.000046484880120 0.000043396016575 0.000003830255319 0.000004915601657
0.000001753880502 0.498100443073546 0.499079953795194 0.029047367963915 0.052530497510602 0.000046831006657 0.000043717610037 0.000003857699367 0.000004947761004
0.000001770108958 0.498257319764261 0.499210164103172 0.029101154459960 0.052978241836253 0.000047180181544 0.000044042179166 0.000003885420507 0.000004980217917
0.000001786487575 0.498402536485737 0.499331467141744 0.029155858130555 0.053435233170474 0.000047532437972 0.000044369751497 0.000003913421148 0.000005012975150
0.000001803017741 0.498536775561861 0.499444439077154 0.029211497055277 0.053901677219960 0.000047887808835 0.000044700354817 0.000003941703695 0.000005046035482
0.000001819700859 0.498660691502441 0.499549641182032 0.029268089771211 0.054377784250280 0.000048246326720 0.000045034017172 0.000003970270543 0.000005079401717
0.000001836538343 0.498774910300163 0.499647619085578 0.029325655288914 0.054863769170600 0.000048608023885 0.000045370766867 0.000003999124079 0.000005113076687
0.000001853531623 0.498880028838042 0.499738902143366 0.029384213109077 0.055359851618715 0.000048972932239 0.000045710632468 0.000004028266675 0.000005147063247
0.000001870682140 0.498976614407707 0.499824002927503 0.029443783239920 0.055866256046471 0.000049341083328 0.000046053642807 0.000004057700695 0.000005181364281
0.000001887991349 0.499065204338345 0.499903416836782 0.029504386215357 0.056383211805216 0.000049712508309 0.000046399826982 0.000004087428483 0.000005215982698
0.000001905460718 0.499146305735803 0.499977621825142 0.029566043113973 0.056910953231470 0.000050087237931 0.000046749214359 0.000004117452370 0.000005250921436
0.000001923091729 0.499220395331052 0.500047078245687 0.029628775578836 0.057449719732492 0.000050465302510 0.000047101834578 0.000004147774665 0.000005286183458
0.000001940885878 0.499287919436787 0.500112228806221 0.029692605838197 0.057999755871730 0.000050846731908 0.000047457717552 0.000004178397658 0.000005321771755
0.000001958844674 0.499349294010901 0.500173498631199 0.029757556727120 0.058561311453997 0.000051231555504 0.000047816893470 0.000004209323616 0.000005357689347
0.000001976969640 0.499404904825093 0.500231295423817 0.029823651710074 0.059134641610265 0.000051619802176 0.000048179392802 0.000004240554778 0.000005393939280
0.000001995262315 0.499455107736858 0.500286009720889 0.029890914904549 0.059720006881923 0.000052011500271 0.000048545246299 0.000004272093358 0.000005430524630
0.000002013724250 0.499500229062899 0.500338015232269 0.029959371105727 0.060317673304310 0.000052406677584 0.000048914484997 0.000004303941539 0.000005467448500
0.000002032357011 0.499540566051807 0.500387669255500 0.030029045812269 0.060927912489459 0.000052805361336 0.000049287140219 0.000004336101472 0.000005504714022
0.000002051162179 0.499576387453840 0.500435313155755 0.030099965253269 0.061551001707761 0.000053207578146 0.000049663243577 0.000004368575272 0.000005542324358
0.000002070141349 0.499607934185452 0.500481272900211 0.030172156416424 0.062187223968503 0.000053613354022 0.000050042826976 0.000004401365016 0.000005580282698
0.000002089296131 0.499635420086205 0.500525859635677 0.030245647077483 0.062836868098933 0.000054022714333 0.000050425922617 0.000004434472742 0.000005618592262
0.000002108628150 0.499659032765553 0.500569370297529 0.030320465831027 0.063500228821815 0.000054435683805 0.000050812562999 0.000004467900442 0.000005657256300
0.000002128139046 0.499678934536869 0.500612088238080 0.030396642122645 0.064177606831142 0.000054852286506 0.000051202780920 0.000004501650065 0.000005696278092
0.000002147830474 0.499695263436094 0.500654283862049 0.030474206282579 0.064869308865781 0.000055272545846 0.000051596609483 0.000004535723508 0.000005735660948
0.000002167704105 0.499708134322021 0.500696215256980 0.030553189560887 0.065575647780909 0.000055696484577 0.000051994082096 0.000004570122617 0.000005775408210
0.000002187761624 0.499717640055300 0.500738128806723 0.030633624164209 0.066296942616890 0.000056124124798 0.000052395232479 0.000004604849182 0.000005815523248
0.000002208004733 0.499723852752765 0.500780259776289 0.030715543294197 0.067033518665364 0.000056555487980 0.000052800094660 0.000004639904933 0.000005856009466
0.000002228435149 0.499726825113620 0.500822832857120 0.030798981187703 0.067785707532249 0.000056990594979 0.000053208702985 0.000004675291539 0.000005896870299
0.000002249054606 0.499726591813528 0.500866062662507 0.030883973158776 0.068553847197408 0.000057429466080 0.000053621092117 0.000004711010604 0.000005938109212
0.000002269864852 0.499723170962314 0.500910154163740 0.030970555642574 0.069338282070591 0.000057872121032 0.000054037297038 0.000004747063660 0.000005979729704
0.000002290867653 0.499716565620529 0.500955303058825 0.031058766241268 0.070139363043399 0.000058318579104 0.000054457353055 0.000004783452167 0.000006021735306
0.000002312064790 0.499706765369558 0.501001696066686 0.031148643772018 0.070957447536896 0.000058768859153 0.000054881295804 0.000004820177510 0.000006064129580
0.000002333458062 0.499693747929432 0.501049511141273 0.031240228317128 0.071792899544475 0.000059222979695 0.000055309161246 0.000004857240991 0.000006106916125
0.000002355049284 0.499677480817779 0.501098917601499 0.031333561276460 0.072646089669696 0.000059680958994 0.000055740985678 0.000004894643829 0.000006150098568
0.000002376840287 0.499657923042742 0.501150076174561 0.031428685422219 0.073517395158554 0.000060142815165 0.000056176805732 0.000004932387152 0.000006193680573
0.000002398832919 0.499635026821950 0.501203138951885 0.031525644956199 0.074407199925942 0.000060608566279 0.000056616658380 0.000004970471999 0.000006237665838
0.000002421029047 0.499608739318863 0.501258249258799 0.031624485569606 0.075315894575690 0.000061078230495 0.000057060580935 0.000005008899310 0.000006282058093
0.000002443430553 0.499579004387141 0.501315541440700 0.031725254505563 0.076243876413885 0.000061551826186 0.000057508611054 0.000005047669924 0.000006326861105
0.000002466039337 0.499545764312929 0.501375140570414 0.031828000624409 0.077191549454915 0.000062029372092 0.000057960786745 0.000005086784574 0.000006372078674
0.000002488857318 0.499508961544243 0.501437162083077 0.031932774471915 0.078159324419746 0.000062510887470 0.000058417146366 0.000005126243885 0.000006417714637
0.000002511886432 0.499468540396111 0.501501711346637 0.032039628350532 0.079147618725955 0.000062996392264 0.000058877728630 0.000005166048366 0.000006463772863
0.000002535128630 0.499424448719512 0.501568883177614 0.032148616393797 0.080156856468972 0.000063485907276 0.000059342572610 0.000005206198410 0.000006510257261
0.000002558585887 0.499376639521743 0.501638761313070 0.032259794644035 0.081187468393962 0.000063979454345 0.000059811717738 0.000005246694284 0.000006557171774
0.000002582260191 0.499325072525583 0.501711417851296 0.032373221133475 0.082239891857769 0.000064477056531 0.000060285203813 0.000005287536128 0.000006604520381
0.000002606153550 0.499269715654388 0.501786912674306 0.032488955968931 0.083314570780349 0.000064978738309 0.000060763071000 0.000005328723951 0.000006652307100
0.000002630267992 0.499210546430380 0.501865292866548 0.032607061420181 0.084411955585081 0.000065484525752 0.000061245359838 0.000005370257623 0.000006700535984
0.000002654605562 0.499147553273431 0.501946592144395 0.032727602012188 0.085532503127218 0.000065994446721 0.000061732111240 0.000005412136874 0.000006749211124
0.000002679168325 0.499080736688217 0.502030830311508 0.032850644621320 0.086676676609938 0.000066508531058 0.000062223366496 0.000005454361286 0.000006798336650
0.000002703958364 0.499010110328020 0.502118012755120 0.032976258575714 0.087844945487232 0.000067026810759 0.000062719167282 0.000005496930292 0.000006847916728
0.000002728977783 0.498935701924380 0.502208129997941 0.033104515759940 0.089037785352946 0.000067549320154 0.000063219555656 0.000005539843169 0.000006897955566
0.000002754228703 0.498857554072729 0.502301157319942 0.033235490724130 0.090255677815201 0.000068076096070 0.000063724574067 0.000005583099033 0.000006948457407
0.000002779713268 0.498775724865397 0.502397054463326 0.033369260797735 0.091499110355500 0.000068607177985 0.000064234265355 0.000005626696836 0.000006999426536
0.000002805433638 0.498690288364646 0.502495765432919 0.033505906208064 0.092768576171682 0.000069142608170 0.000064748672759 0.000005670635360 0.000007050867276
0.000002831391996 0.498601334910099 0.502597218402879 0.033645510203799 0.094064574003953 0.000069682431807 0.000065267839916 0.000005714913215 0.000007102783992
0.000002857590543 0.498508971256473 0.502701325738936 0.033788159183632 0.095387607943198 0.000070226697099 0.000065791810867 0.000005759528831 0.000007155181087
0.000002884031503 0.498413320539475 0.502807984143751 0.033933942830218 0.096738187220622 0.000070775455359 0.000066320630063 0.000005804480460 0.000007208063006
0.000002910717118 0.498314522069555 0.502917074930789 0.034082954249613 0.098116825978042 0.000071328761070 0.000066854342361 0.000005849766162 0.000007261434236
0.000002937649652 0.498212730955238 0.503028464430346 0.034235290116378 0.099524043017720 0.000071886671929 0.000067392993039 0.000005895383813 0.000007315299304
0.000002964831390 0.498108117559740 0.503142004528877 0.034391050824534 0.100960361531011 0.000072449248873 0.000067936627790 0.000005941331091 0.000007369662779
0.000002992264637 0.498000866796634 0.503257533340868 0.034550340644535 0.102426308804886 0.000073016556065 0.000068485292732 0.000005987605479 0.000007424529273
0.000003019951720 0.497891177272181 0.503374876010092 0.034713267886468 0.103922415905248 0.000073588660873 0.000069039034408 0.000006034204258 0.000007479903441
0.000003047894990 0.497779260283922 0.503493845635109 0.034879945069639 0.105449217336260 0.000074165633813 0.000069597899793 0.000006081124508 0.000007535789979
0.000003076096815 0.497665338686856 0.503614244311700 0.035050489098738 0.107007250674666 0.000074747548471 0.000070161936295 0.000006128363099 0.000007592193629
0.000003104559588 0.497549645640126 0.503735864283031 0.035225021446762 0.108597056178059 0.000075334481403 0.000070731191763 0.000006175916696 0.000007649119176
0.000003133285724 0.497432423248576 0.503858489186686 0.035403668344881 0.110219176366183 0.000075926512011 0.000071305714486 0.000006223781751 0.000007706571449
0.000003162277660 0.497313921114779 0.503981895385942 0.035586560979412 0.111874155574290 0.000076523722393 0.000071885553203 0.000006271954504 0.000007764555320
0.000003191537855 0.497194394818148 0.504105853371558 0.035773835696088 0.113562539477429 0.000077126197179 0.000072470757102 0.000006320430982 0.000007823075710
0.000003221068791 0.497074104338458 0.504230129219100 0.035965634211780 0.115284874584843 0.000077734023349 0.000073061375826 0.000006369206996 0.000007882137583
0.000003250872974 0.496953312441651 0.504354486086066 0.036162103833838 0.117041707703310 0.000078347290024 0.000073657459477 0.000006418278143 0.000007941745948
0.000003280952931 0.496832283046008 0.504478685732568 0.036363397687216 0.118833585368506 0.000078966088255 0.000074259058623 0.000006467639805 0.000008001905862
0.000003311311215 0.496711279586725 0.504602490048929 0.036569674949517 0.120661053243400 0.000079590510796 0.000074866224297 0.000006517287150 0.000008062622430
0.000003341950400 0.496590563396682 0.504725662573805 0.036781101094105 0.122524655482641 0.000080220651863 0.000075479008005 0.000006567215133 0.000008123900801
0.000003372873087 0.496470392120586 0.504847969986463 0.036997848141410 0.124424934062073 0.000080856606890 0.000076097461732 0.000006617418500 0.000008185746173
0.000003404081897 0.496351018178972 0.504969183557556 0.037220094918550 0.126362428072281 0.000081498472283 0.000076721637940 0.000006667891787 0.000008248163794
0.000003435579479 0.496232687297414 0.505089080543525 0.037448027327364 0.128337672975399 0.000082146345166 0.000077351589580 0.000006718629328 0.000008311158958
0.000003467368505 0.496115637115239 0.505207445510680 0.037681838620943 0.130351199824116 0.000082800323136 0.000077987370091 0.000006769625255 0.000008374737009
0.000003499451670 0.496000095886555 0.505324071576238 0.037921729688744 0.132403534442220 0.000083460504014 0.000078629033406 0.000006820873507 0.000008438903341
0.000003531831698 0.495886281284915 0.505438761555068 0.038167909350321 0.134495196565599 0.000084126985607 0.000079276633958 0.000006872367834 0.000008503663396
0.000003564511334 0.495774399321328 0.505551329002201 0.038420594657705 0.136626698943205 0.000084799865478 0.000079930226685 0.000006924101805 0.000008569022669
0.000003597493352 0.495664643383600 0.505661599142982 0.038680011206456 0.138798546396974 0.000085479240723 0.000080589867031 0.000006976068816 0.000008634986703
0.000003630780548 0.495557193403179 0.505769409684194 0.038946393455335 0.141011234840262 0.000086165207767 0.000081255610954 0.000007028262098 0.000008701561095
0.000003664375746 0.495452215153943 0.505874611501435 0.039219985054578 0.143265250254040 0.000086857862172 0.000081927514930 0.000007080674730 0.000008768751493
0.000003698281798 0.495349859685561 0.505977069199540 0.039501039182673 0.145561067620434 0.000087557298454 0.000082605635956 0.000007133299650 0.000008836563596
0.000003732501578 0.495250262892334 0.506076661544653 0.039789818891523 0.147899149813037 0.000088263609932 0.000083290031559 0.000007186129667 0.000008905003156
0.000003767037990 0.495153545216703 0.506173281768142 0.040086597459855 0.150279946443768 0.000088976888581 0.000083980759797 0.000007239157474 0.000008974075980
0.000003801893963 0.495059811485082 0.506266837744212 0.040391658754673 0.152703892665922 0.000089697224914 0.000084677879264 0.000007292375669 0.000009043787926
0.000003837072455 0.494969150872145 0.506357252044364 0.040705297600514 0.155171407933346 0.000090424707881 0.000085381449098 0.000007345776768 0.000009114144910
